date	open	high	low	close	volume
2008-12-30	9.564	9.826	9.505	9.564	64392.582
2008-12-31	9.556	9.716	9.429	9.522	45232.126
2009-01-05	9.564	9.75	9.539	9.682	44018.861
2009-01-06	9.623	10.206	9.598	10.181	88022.515
2009-01-07	10.139	10.249	10.012	10.012	88491.43
2009-01-08	9.843	10.409	9.809	10.156	132904.855
2009-01-09	10.122	10.595	10.105	10.536	131407.707
2009-01-12	10.646	11.06	10.561	10.899	178135.291
2009-01-13	10.688	10.848	10.494	10.696	78106.865
2009-01-14	10.646	10.891	10.612	10.815	66745.605
2009-01-15	10.772	10.772	10.536	10.603	160345.25
2009-01-16	10.536	10.899	10.536	10.882	115894.649
2009-01-19	10.975	11.279	10.561	10.705	145457.412
2009-01-20	10.646	10.713	10.316	10.409	84642.948
2009-01-21	10.384	10.798	10.384	10.722	86115.594
2009-01-22	10.713	10.789	10.527	10.772	48765.463
2009-01-23	10.781	10.815	10.578	10.679	68223.321
2009-02-02	10.73	11.414	10.603	11.288	100536.207
2009-02-03	11.305	11.626	11.195	11.507	170267.659
2009-02-04	11.617	11.778	11.516	11.626	122723.909
2009-02-05	11.66	11.668	11.279	11.364	119459.248
2009-02-06	11.592	11.769	11.448	11.727	163140.152
2009-02-09	11.803	11.997	11.592	11.786	205114.376
2009-02-10	11.71	11.778	11.406	11.676	210487.042
2009-02-11	11.491	12.209	11.364	12.133	276892.156
2009-02-12	12.057	12.538	11.837	12.411	286264.54
2009-02-13	12.395	12.733	12.183	12.597	225715.372
2009-02-16	12.656	12.707	12.209	12.521	191659.474
2009-02-17	12.547	12.572	11.964	12.023	181678.768
2009-02-18	11.769	11.769	11.237	11.279	294300.306
2009-02-19	11.406	11.507	11.051	11.203	178884.71
2009-02-20	11.229	11.82	11.11	11.668	189813.386
2009-02-23	11.575	11.913	11.457	11.795	138537.749
2009-02-24	11.634	11.93	11.296	11.305	121675.399
2009-02-25	11.474	11.524	10.891	11.246	118613.511
2009-02-26	11.305	11.575	10.679	10.764	134810.931
2009-02-27	10.629	10.747	10.181	10.612	160861.479
2009-03-02	10.384	10.832	10.316	10.722	76225.291
2009-03-03	10.519	10.832	10.426	10.755	62777.993
2009-03-04	10.84	11.33	10.755	11.195	161972.512
2009-03-05	11.313	11.33	10.941	11.11	158859.086
2009-03-06	10.95	11.322	10.84	11.195	96616.754
2009-03-09	11.195	11.372	10.73	10.832	73544.449
2009-03-10	10.806	11.085	10.713	11.034	51016.255
2009-03-11	11.203	11.271	10.908	10.958	50935.99
2009-03-12	10.899	11.009	10.789	10.908	76771.936
2009-03-13	10.975	11.068	10.772	10.832	38864.177
2009-03-16	10.815	11.0	10.663	10.924	34042.379
2009-03-17	10.941	11.262	10.899	11.22	72134.325
2009-03-18	11.254	11.617	11.195	11.465	103386.871
2009-03-19	11.423	11.955	11.423	11.702	120581.264
2009-03-20	11.702	12.074	11.592	11.643	127669.906
2009-03-23	11.617	11.896	11.609	11.769	97828.329
2009-03-24	11.913	12.673	11.761	12.428	148185.568
2009-03-25	12.158	12.572	11.981	12.014	120012.652
2009-03-26	12.395	12.648	12.014	12.445	240816.122
2009-03-27	12.454	12.496	12.209	12.259	145397.425
2009-03-30	12.259	12.285	11.896	11.964	141554.012
2009-03-31	11.803	12.023	11.533	12.006	110906.408
2009-04-01	12.057	12.302	12.014	12.166	110631.818
2009-04-02	12.234	12.488	12.166	12.251	122214.44
2009-04-03	12.403	12.403	11.981	12.268	133838.461
2009-04-07	12.251	12.395	11.828	12.006	113521.348
2009-04-08	11.981	11.981	11.541	11.55	128993.851
2009-04-09	11.583	11.71	11.448	11.617	99242.677
2009-04-10	11.719	11.93	11.617	11.862	99388.844
2009-04-13	11.955	12.082	11.862	12.065	162793.747
2009-04-14	12.099	12.175	11.947	12.057	160243.018
2009-04-15	11.964	12.124	11.879	12.057	110115.59
2009-04-16	12.082	12.352	12.04	12.217	183000.178
2009-04-17	12.226	12.327	11.981	11.997	179810.712
2009-04-20	11.997	12.335	11.938	12.31	162058.691
2009-04-21	12.133	12.479	12.082	12.462	189131.558
2009-04-22	12.479	13.003	12.082	12.175	296842.585
2009-04-23	12.124	12.2	11.871	12.15	108522.969
2009-04-24	12.234	12.234	11.828	11.845	91007.517
2009-04-27	11.913	11.997	11.567	11.6	78067.155
2009-04-28	11.246	11.448	11.153	11.296	145528.383
2009-04-29	11.11	11.533	11.11	11.448	179204.924
2009-04-30	11.575	11.896	11.533	11.592	184135.713
2009-05-04	11.719	12.074	11.592	12.023	156352.292
2009-05-05	12.124	12.217	11.921	11.997	173410.657
2009-05-06	12.031	12.386	11.981	12.209	217279.127
2009-05-07	12.259	12.335	11.862	12.023	153585.271
2009-05-08	11.989	12.057	11.736	11.989	151440.091
